Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,443.700012,447.000000,434.000000,435.649994,435.649994,38236066
2021-08-09,437.899994,441.799988,431.000000,433.399994,433.399994,22196404
2021-08-10,434.399994,436.399994,421.700012,426.450012,426.450012,27794251
2021-08-11,429.799988,432.899994,423.149994,428.049988,428.049988,23827946
2021-08-12,430.000000,430.450012,425.000000,427.149994,427.149994,16847144
2021-08-13,427.600006,432.250000,425.000000,431.200012,431.200012,20908992
2021-08-16,430.000000,434.000000,424.000000,424.850006,424.850006,17608693
2021-08-17,424.850006,425.850006,415.250000,421.500000,421.500000,22957877
2021-08-18,422.149994,424.350006,418.000000,419.700012,419.700012,17668574
2021-08-20,415.000000,417.350006,405.149994,406.700012,406.700012,25541790
2021-08-23,411.100006,413.000000,401.250000,409.500000,409.500000,26559937
2021-08-24,409.500000,418.750000,408.200012,417.600006,417.600006,19012313
2021-08-25,419.000000,421.299988,414.299988,416.250000,416.250000,16410980
2021-08-26,414.500000,415.799988,410.000000,410.750000,410.750000,15897679
2021-08-27,410.350006,414.350006,407.500000,412.450012,412.450012,15090541
2021-08-30,414.399994,423.299988,413.500000,422.700012,422.700012,20308691
2021-08-31,423.850006,427.000000,418.700012,426.049988,426.049988,26262421
2021-09-01,427.500000,432.549988,425.149994,429.899994,429.899994,18776721
2021-09-02,431.399994,433.500000,427.750000,429.750000,429.750000,14372717
2021-09-03,431.250000,434.299988,428.200012,431.399994,431.399994,14233624
2021-09-06,432.000000,433.850006,430.049988,431.049988,431.049988,10694099
2021-09-07,431.049988,431.700012,425.100006,429.100006,429.100006,14928735
2021-09-08,429.000000,435.399994,427.350006,431.350006,431.350006,22817464
2021-09-09,430.250000,433.799988,430.000000,432.299988,432.299988,9662128
2021-09-13,430.100006,433.799988,428.799988,432.850006,432.850006,9567921
2021-09-14,435.000000,436.750000,432.250000,433.000000,433.000000,9981562
2021-09-15,433.000000,445.000000,431.450012,443.850006,443.850006,22181568
2021-09-16,444.850006,466.100006,442.750000,463.700012,463.700012,42637448
