ds,Open,High,Low,Close,y,Volume
17-08-2010,210.800003,213.600006,208.110001,212.104996,178.310928,10065910
18-08-2010,213,219.899994,213,219.195007,184.271301,19422170
19-08-2010,218.5,223.949997,218.5,223.014999,187.482666,10381960
20-08-2010,221.154999,223.979996,220.520004,223.130005,187.579361,4199070
23-08-2010,221.285004,222.800003,218.300003,219.660004,184.662231,4097430
24-08-2010,219.660004,222,216.009995,220.865005,185.675247,5340140
25-08-2010,220.100006,221.5,217.854996,219.225006,184.296524,5295610
26-08-2010,217.860001,221.384995,216.649994,217.835007,183.127991,10194050
27-08-2010,218,218.994995,212.565002,213.914993,179.832535,5775240
30-08-2010,216,217.770004,211.660004,213.169998,179.206268,3438230
31-08-2010,212.5,214,211.229996,213.425003,179.420639,4695080
01-09-2010,213.554993,215.5,212,214.925003,180.681656,4808100
02-09-2010,215.979996,219.494995,215.979996,218.744995,183.89299,5795330
03-09-2010,219.399994,220,216.824997,219.395004,184.439438,4059080
06-09-2010,219.800003,221.970001,218.514999,220.429993,185.309509,4773220
07-09-2010,221.600006,221.600006,218.255005,219.910004,184.872391,4203920
08-09-2010,218.800003,219.990005,217.130005,217.960007,183.233093,4984800
09-09-2010,219.5,225,218.309998,224.485001,188.71846,13014790
13-09-2010,225.009995,229.5,224.800003,228.244995,191.879395,7297790
14-09-2010,228.600006,235,228.600006,233.419998,196.229874,16348730
15-09-2010,233.899994,238.399994,233.604996,237.544998,199.697647,12751580
16-09-2010,237.570007,241.5,235.535004,239.529999,201.366394,12767390
17-09-2010,239.529999,242.600006,238.699997,240.059998,201.811935,10751570
20-09-2010,240.320007,246.994995,239.630005,244.619995,205.645416,7547730
21-09-2010,245.509995,249.460007,245.509995,247.074997,207.709274,16355390
22-09-2010,247,249,245.029999,248.164993,208.625595,12524510
23-09-2010,247.154999,248.184998,245.315002,246.384995,207.129196,6190170
24-09-2010,240.815002,250.199997,240.815002,249.524994,209.768921,13955310
27-09-2010,250,251.080002,243.369995,243.845001,204.993896,8338720
28-09-2010,243.800003,246.169998,242.139999,245.039993,205.998505,9432110
29-09-2010,247.399994,247.399994,242.619995,244.285004,205.3638,7797860
30-09-2010,243,249.899994,242.669998,248.934998,209.272903,18479890
01-10-2010,249.199997,250.399994,246.235001,250.074997,210.231293,8865130
04-10-2010,250.074997,252.259995,248.320007,249.399994,209.663803,6990230
05-10-2010,248.139999,250.970001,243.744995,244.779999,205.779922,8598330
06-10-2010,245.5,248,245,245.675003,206.532333,4109940
07-10-2010,245.699997,247,242.654999,243.354996,204.581955,4506420
08-10-2010,243.514999,244.800003,239,240.574997,202.244888,7453430
11-10-2010,244.080002,244.080002,236.664993,238.850006,200.794739,9910020
12-10-2010,239.804993,240,233.955002,238.029999,200.105392,7809900
13-10-2010,238.5,245,236.699997,244.125,205.229279,10286700
14-10-2010,244.5,245.600006,241.005005,242.434998,203.808517,3853630
15-10-2010,242.440002,244.274994,237.994995,238.625,200.605576,5863270
18-10-2010,253.990005,253.990005,235.300003,239.845001,201.63121,8275100
19-10-2010,242.300003,242.300003,235.854996,236.884995,199.142792,8324520
20-10-2010,236.899994,237.199997,232.809998,233.554993,196.343353,4930230
21-10-2010,233.005005,237.479996,231.664993,236.509995,198.82756,7297530
22-10-2010,238,238,231.850006,232.664993,195.595184,6475190
25-10-2010,233.600006,236.75,229.899994,230.470001,193.749893,8629790
